turn,frame_k,event_seq,observed_at_utc,wall_since_input_start_ms,audio_position_ms,lag_ms,gap_from_previous_ms,frame_bytes,nonzero_byte_count
turn1,1,70,2026-09-23T14:18:35.706Z,9.000,92.875,-83.875,,2972,0
turn1,2,72,2026-09-23T14:18:35.856Z,159.000,185.750,-26.750,150.000,2972,2239
turn1,3,77,2026-09-23T14:18:36.161Z,464.000,278.625,185.375,305.000,2972,2955
turn1,4,79,2026-09-23T14:18:36.164Z,467.000,371.500,95.500,3.000,2972,2626
turn1,5,81,2026-09-23T14:18:36.321Z,624.000,464.375,159.625,157.000,2972,2941
turn1,6,88,2026-09-23T14:18:36.397Z,700.000,557.250,142.750,76.000,2972,2939
turn1,7,90,2026-09-23T14:18:36.497Z,800.000,650.125,149.875,100.000,2972,2891
turn1,8,92,2026-09-23T14:18:36.555Z,858.000,743.000,115.000,58.000,2972,2957
turn1,9,94,2026-09-23T14:18:36.655Z,958.000,835.875,122.125,100.000,2972,2684
turn1,10,97,2026-09-23T14:18:36.754Z,1057.000,928.750,128.250,99.000,2972,2893
turn1,11,106,2026-09-23T14:18:36.844Z,1147.000,1021.625,125.375,90.000,2972,2957
turn1,12,109,2026-09-23T14:18:36.965Z,1268.000,1114.500,153.500,121.000,2972,2894
turn1,13,111,2026-09-23T14:18:37.064Z,1367.000,1207.375,159.625,99.000,2972,2721
turn1,14,113,2026-09-23T14:18:37.154Z,1457.000,1300.250,156.750,90.000,2972,2957
turn1,15,115,2026-09-23T14:18:37.244Z,1547.000,1393.125,153.875,90.000,2972,2941
turn1,16,122,2026-09-23T14:18:37.334Z,1637.000,1486.000,151.000,90.000,2972,2952
turn1,17,124,2026-09-23T14:18:37.435Z,1738.000,1578.875,159.125,101.000,2972,2751
turn1,18,126,2026-09-23T14:18:37.525Z,1828.000,1671.750,156.250,90.000,2972,2907
turn1,19,128,2026-09-23T14:18:37.615Z,1918.000,1764.625,153.375,90.000,2972,2945
turn1,20,130,2026-09-23T14:18:37.714Z,2017.000,1857.500,159.500,99.000,2972,2950
turn1,21,132,2026-09-23T14:18:37.804Z,2107.000,1950.375,156.625,90.000,2972,2945
turn1,22,135,2026-09-23T14:18:37.894Z,2197.000,2043.250,153.750,90.000,2972,2927
turn1,23,137,2026-09-23T14:18:37.975Z,2278.000,2136.125,141.875,81.000,2972,2914
turn1,24,139,2026-09-23T14:18:38.076Z,2379.000,2229.000,150.000,101.000,2972,2953
turn1,25,141,2026-09-23T14:18:38.166Z,2469.000,2321.875,147.125,90.000,2972,797
turn1,26,145,2026-09-23T14:18:38.255Z,2558.000,2414.750,143.250,89.000,2972,0
turn1,27,147,2026-09-23T14:18:38.355Z,2658.000,2507.625,150.375,100.000,2972,0
turn1,28,149,2026-09-23T14:18:38.445Z,2748.000,2600.500,147.500,90.000,2972,0
turn1,29,151,2026-09-23T14:18:38.535Z,2838.000,2693.375,144.625,90.000,2972,0
turn1,30,153,2026-09-23T14:18:38.625Z,2928.000,2786.250,141.750,90.000,2972,0
turn1,31,156,2026-09-23T14:18:38.725Z,3028.000,2879.125,148.875,100.000,2972,0
turn1,32,158,2026-09-23T14:18:38.815Z,3118.000,2972.000,146.000,90.000,2972,0
turn1,33,160,2026-09-23T14:18:38.905Z,3208.000,3064.875,143.125,90.000,2972,0
turn1,34,162,2026-09-23T14:18:39.005Z,3308.000,3157.750,150.250,100.000,2972,0
turn1,35,164,2026-09-23T14:18:39.095Z,3398.000,3250.625,147.375,90.000,2972,0
turn1,36,166,2026-09-23T14:18:39.185Z,3488.000,3343.500,144.500,90.000,2972,0
turn1,37,168,2026-09-23T14:18:39.285Z,3588.000,3436.375,151.625,100.000,2972,0
turn1,38,170,2026-09-23T14:18:39.374Z,3677.000,3529.250,147.750,89.000,2972,0
turn1,39,175,2026-09-23T14:18:39.499Z,3802.000,3622.125,179.875,125.000,2972,0
turn2,1,820,2026-09-23T14:19:27.101Z,98.000,92.875,5.125,,2972,237
turn2,2,822,2026-09-23T14:19:27.192Z,189.000,185.750,3.250,91.000,2972,2670
turn2,3,824,2026-09-23T14:19:27.282Z,279.000,278.625,0.375,90.000,2972,2654
turn2,4,827,2026-09-23T14:19:27.382Z,379.000,371.500,7.500,100.000,2972,1299
turn2,5,832,2026-09-23T14:19:27.496Z,493.000,464.375,28.625,114.000,2972,2625
turn2,6,834,2026-09-23T14:19:27.573Z,570.000,557.250,12.750,77.000,2972,1958
turn2,7,837,2026-09-23T14:19:27.662Z,659.000,650.125,8.875,89.000,2972,2833
turn2,8,839,2026-09-23T14:19:27.762Z,759.000,743.000,16.000,100.000,2972,2201
