turn,frame_k,event_seq,observed_at_utc,wall_since_input_start_ms,audio_position_ms,lag_ms,gap_from_previous_ms,frame_bytes,nonzero_byte_count
R3-1,1,71,2026-09-24T11:17:49.400Z,68,92.875,-24.875,,2972,1458
R3-1,2,73,2026-09-24T11:17:49.488Z,156,185.750,-29.750,88,2972,2829
R3-1,3,79,2026-09-24T11:17:49.589Z,257,278.625,-21.625,101,2972,1167
R3-1,4,81,2026-09-24T11:17:49.679Z,347,371.500,-24.500,90,2972,2786
R3-1,5,86,2026-09-24T11:17:49.768Z,436,464.375,-28.375,89,2972,1759
R3-1,6,88,2026-09-24T11:17:49.868Z,536,557.250,-21.250,100,2972,2850
R3-1,7,90,2026-09-24T11:17:49.958Z,626,650.125,-24.125,90,2972,2753
R3-1,8,92,2026-09-24T11:17:50.048Z,716,743.000,-27.000,90,2972,1747
R3-1,9,99,2026-09-24T11:17:50.138Z,806,835.875,-29.875,90,2972,2120
R3-1,10,102,2026-09-24T11:17:50.238Z,906,928.750,-22.750,100,2972,2457
R3-1,11,104,2026-09-24T11:17:50.328Z,996,1021.625,-25.625,90,2972,2488
R3-1,12,106,2026-09-24T11:17:50.418Z,1086,1114.500,-28.500,90,2972,2835
R3-1,13,108,2026-09-24T11:17:50.518Z,1186,1207.375,-21.375,100,2972,2613
R3-1,14,117,2026-09-24T11:17:50.607Z,1275,1300.250,-25.250,89,2972,2331
R3-1,15,119,2026-09-24T11:17:50.698Z,1366,1393.125,-27.125,91,2972,2930
R3-1,16,121,2026-09-24T11:17:50.787Z,1455,1486.000,-31.000,89,2972,2938
R3-1,17,123,2026-09-24T11:17:50.887Z,1555,1578.875,-23.875,100,2972,2674
R3-1,18,125,2026-09-24T11:17:50.978Z,1646,1671.750,-25.750,91,2972,2546
R3-1,19,130,2026-09-24T11:17:51.068Z,1736,1764.625,-28.625,90,2972,0
R3-1,20,132,2026-09-24T11:17:51.168Z,1836,1857.500,-21.500,100,2972,0
R3-1,21,134,2026-09-24T11:17:51.257Z,1925,1950.375,-25.375,89,2972,0
R3-1,22,136,2026-09-24T11:17:51.348Z,2016,2043.250,-27.250,91,2972,0
R3-1,23,141,2026-09-24T11:17:51.447Z,2115,2136.125,-21.125,99,2972,1442
R3-1,24,143,2026-09-24T11:17:51.538Z,2206,2229.000,-23.000,91,2972,2907
